"social"|"Center for International Education (CIE)"|"https://web.ccsu.edu/cie/?redirected"
"social"|"Public Safety"|"https://www.ccsu.edu/police/"
"social"|"Student Activities/Leadership Development (SA/LD)"|"https://www.ccsu.edu/sald/"
"social"|"Counceling Center"|"https://web.ccsu.edu/counselingandwellnesscenter/?redirected"
"physical"|"Athletics"|"http://www.ccsubluedevils.com/landing/index"
"physical"|"Health Services"|"https://web.ccsu.edu/healthservices/?redirected"
"physical"|"Public Safety"|"https://www.ccsu.edu/police/"
"physical"|"RECentral"|"https://www.ccsu.edu/recentral/"
"intellectual"|"Athletics"|"http://www.ccsubluedevils.com/landing/index"
"intellectual"|"Center for Advising and Career Exploration (CACE)"|"https://www.ccsu.edu/csc/"
"intellectual"|"Center for International Education (CIE)"|"https://web.ccsu.edu/cie/?redirected"
"intellectual"|"Learning Center"|"https://web.ccsu.edu/tlc/?redirected"
"intellectual"|"Public Safety"|"https://www.ccsu.edu/police/"
"intellectual"|"Student Disability Services"|"https://www.ccsu.edu/sds/"
"financial"|"Career Success Center"|"https://www.ccsu.edu/csc/"
"financial"|"Financial Aid"|"https://www.ccsu.edu/financialaid/"
"spiritual"|"Counseling Center"|"https://web.ccsu.edu/counselingandwellnesscenter/?redirected"
"emotional"|"Academic Calendar"|"https://www.ccsu.edu/calendar/"
"emotional"|"Athletics"|"http://www.ccsubluedevils.com/landing/index"
"emotional"|"Center for Advising and Career Exploration (CACE)"|"https://www.ccsu.edu/csc/"
"emotional"|"Counseling Center"|"https://web.ccsu.edu/counselingandwellnesscenter/?redirected"
"emotional"|"RECentral"|"https://www.ccsu.edu/recentral/"
"emotional"|"Residence Life"|"https://www.ccsu.edu/reslife/"
"emotional"|"Student Activities/ Leadership Development (SA/LD)"|"https://www.ccsu.edu/sald/"
"emotional"|"Student Disability Services"|"https://www.ccsu.edu/sds/"
"environmental"|"Center for International Education (CIE)"|"https://web.ccsu.edu/cie/?redirected"
"environmental"|"Health Services"|"https://web.ccsu.edu/healthservices/?redirected"
"environmental"|"Public Safety"|"https://www.ccsu.edu/police/"
"environmental"|"Residence Life"|"https://www.ccsu.edu/reslife/"
"occupational"|"Athletics"|"http://www.ccsubluedevils.com/landing/index"
"occupational"|"RECentral"|"https://www.ccsu.edu/recentral/"
"occupational"|"Student Activities/ Leadership Development (SA/LD)"|"https://www.ccsu.edu/sald/"
"occupational"|"Student Clubs and Organizations"|"https://ccsu.campuslabs.com/engage/"
"occupational"|"Today@CCSU"|"https://today.ccsu.edu/mastercalendar/MasterCalendar.aspx"
